post,visa_class,issuances,year,month,source_file,date,country
Brasilia,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Brazil
Bratislava,F1,3,2023,1,2023_01_post.xlsx,2023-01-01,Slovakia
Bratislava,J1,13,2023,1,2023_01_post.xlsx,2023-01-01,Slovakia
Brazzaville,F1,22,2023,1,2023_01_post.xlsx,2023-01-01,
Brazzaville,J1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Bridgetown,F1,70,2023,1,2023_01_post.xlsx,2023-01-01,
Bridgetown,J1,12,2023,1,2023_01_post.xlsx,2023-01-01,
Bridgetown,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Brussels,F1,43,2023,1,2023_01_post.xlsx,2023-01-01,Belgium
Brussels,J1,86,2023,1,2023_01_post.xlsx,2023-01-01,Belgium
Brussels,M1,10,2023,1,2023_01_post.xlsx,2023-01-01,Belgium
Bucharest,F1,1,2023,1,2023_01_post.xlsx,2023-01-01,Romania
Bucharest,J1,93,2023,1,2023_01_post.xlsx,2023-01-01,Romania
Budapest,F1,17,2023,1,2023_01_post.xlsx,2023-01-01,Hungary
Budapest,J1,215,2023,1,2023_01_post.xlsx,2023-01-01,Hungary
Buenos Aires,F1,102,2023,1,2023_01_post.xlsx,2023-01-01,Argentina
Buenos Aires,J1,224,2023,1,2023_01_post.xlsx,2023-01-01,Argentina
Buenos Aires,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Argentina
Bujumbura,F1,17,2023,1,2023_01_post.xlsx,2023-01-01,
Bujumbura,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Cairo,F1,50,2023,1,2023_01_post.xlsx,2023-01-01,Egypt
Cairo,J1,138,2023,1,2023_01_post.xlsx,2023-01-01,Egypt
Cairo,M1,5,2023,1,2023_01_post.xlsx,2023-01-01,Egypt
Calgary,F1,27,2023,1,2023_01_post.xlsx,2023-01-01,
Calgary,J1,16,2023,1,2023_01_post.xlsx,2023-01-01,
Cape Town,F1,15,2023,1,2023_01_post.xlsx,2023-01-01,
Cape Town,J1,72,2023,1,2023_01_post.xlsx,2023-01-01,
Cape Town,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Casablanca,F1,44,2023,1,2023_01_post.xlsx,2023-01-01,
Casablanca,J1,23,2023,1,2023_01_post.xlsx,2023-01-01,
Casablanca,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Chennai,F1,384,2023,1,2023_01_post.xlsx,2023-01-01,India
Chennai,J1,103,2023,1,2023_01_post.xlsx,2023-01-01,India
Chiang Mai,F1,12,2023,1,2023_01_post.xlsx,2023-01-01,
Chiang Mai,J1,68,2023,1,2023_01_post.xlsx,2023-01-01,
Chisinau,F1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Chisinau,J1,16,2023,1,2023_01_post.xlsx,2023-01-01,
Ciudad Juarez,F1,71,2023,1,2023_01_post.xlsx,2023-01-01,
Ciudad Juarez,J1,13,2023,1,2023_01_post.xlsx,2023-01-01,
Colombo,F1,46,2023,1,2023_01_post.xlsx,2023-01-01,
Colombo,J1,12,2023,1,2023_01_post.xlsx,2023-01-01,
Conakry,F1,3,2023,1,2023_01_post.xlsx,2023-01-01,
Conakry,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Copenhagen,F1,37,2023,1,2023_01_post.xlsx,2023-01-01,Denmark
Copenhagen,J1,77,2023,1,2023_01_post.xlsx,2023-01-01,Denmark
Cotonou,F1,11,2023,1,2023_01_post.xlsx,2023-01-01,
Cotonou,J1,3,2023,1,2023_01_post.xlsx,2023-01-01,
Curacao,F1,21,2023,1,2023_01_post.xlsx,2023-01-01,
Dakar,F1,35,2023,1,2023_01_post.xlsx,2023-01-01,
Dakar,J1,12,2023,1,2023_01_post.xlsx,2023-01-01,
Dar es Salaam,F1,80,2023,1,2023_01_post.xlsx,2023-01-01,
Dar es Salaam,J1,19,2023,1,2023_01_post.xlsx,2023-01-01,
Dar es Salaam,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Dhahran,F1,42,2023,1,2023_01_post.xlsx,2023-01-01,Saudi Arabia
Dhahran,J1,6,2023,1,2023_01_post.xlsx,2023-01-01,Saudi Arabia
Dhahran,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Saudi Arabia
Dhaka,F1,326,2023,1,2023_01_post.xlsx,2023-01-01,Bangladesh
Dhaka,J1,41,2023,1,2023_01_post.xlsx,2023-01-01,Bangladesh
Dili,J1,7,2023,1,2023_01_post.xlsx,2023-01-01,
Djibouti,F1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Doha,F1,55,2023,1,2023_01_post.xlsx,2023-01-01,Qatar
Doha,J1,12,2023,1,2023_01_post.xlsx,2023-01-01,Qatar
Doha,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Qatar
Dubai,F1,106,2023,1,2023_01_post.xlsx,2023-01-01,United Arab Emirates
Dubai,J1,46,2023,1,2023_01_post.xlsx,2023-01-01,United Arab Emirates
Dubai,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,United Arab Emirates
Dublin,F1,18,2023,1,2023_01_post.xlsx,2023-01-01,Ireland
Dublin,J1,178,2023,1,2023_01_post.xlsx,2023-01-01,Ireland
Dublin,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Ireland
Durban,F1,25,2023,1,2023_01_post.xlsx,2023-01-01,
Durban,J1,66,2023,1,2023_01_post.xlsx,2023-01-01,
Dushanbe,F1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Dushanbe,J1,7,2023,1,2023_01_post.xlsx,2023-01-01,
Erbil,F1,6,2023,1,2023_01_post.xlsx,2023-01-01,
Erbil,J1,6,2023,1,2023_01_post.xlsx,2023-01-01,
Florence,F1,32,2023,1,2023_01_post.xlsx,2023-01-01,Italy
Florence,J1,58,2023,1,2023_01_post.xlsx,2023-01-01,Italy
Frankfurt,F1,89,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Frankfurt,J1,279,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Frankfurt,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Freetown,F1,16,2023,1,2023_01_post.xlsx,2023-01-01,
Freetown,J1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Gaborone,F1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Gaborone,J1,8,2023,1,2023_01_post.xlsx,2023-01-01,
Georgetown,F1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Georgetown,J1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Georgetown,M1,6,2023,1,2023_01_post.xlsx,2023-01-01,
Guadalajara,F1,50,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Guadalajara,J1,90,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Guadalajara,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Guangzhou,F1,498,2023,1,2023_01_post.xlsx,2023-01-01,China
Guangzhou,J1,121,2023,1,2023_01_post.xlsx,2023-01-01,China
Guangzhou,M1,4,2023,1,2023_01_post.xlsx,2023-01-01,China
Guatemala City,F1,46,2023,1,2023_01_post.xlsx,2023-01-01,
Guatemala City,J1,8,2023,1,2023_01_post.xlsx,2023-01-01,
Guatemala City,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Guayaquil,F1,31,2023,1,2023_01_post.xlsx,2023-01-01,Ecuador
Guayaquil,J1,1344,2023,1,2023_01_post.xlsx,2023-01-01,Ecuador
Guayaquil,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Ecuador
Halifax,F1,7,2023,1,2023_01_post.xlsx,2023-01-01,
Halifax,J1,4,2023,1,2023_01_post.xlsx,2023-01-01,
Hamilton,F1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Hanoi,F1,336,2023,1,2023_01_post.xlsx,2023-01-01,Vietnam
Hanoi,J1,18,2023,1,2023_01_post.xlsx,2023-01-01,Vietnam
Hanoi,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Vietnam
Harare,F1,47,2023,1,2023_01_post.xlsx,2023-01-01,Zimbabwe
Harare,J1,25,2023,1,2023_01_post.xlsx,2023-01-01,Zimbabwe
Havana,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Helsinki,F1,8,2023,1,2023_01_post.xlsx,2023-01-01,
Helsinki,J1,24,2023,1,2023_01_post.xlsx,2023-01-01,
Helsinki,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Hermosillo,F1,12,2023,1,2023_01_post.xlsx,2023-01-01,
Hermosillo,J1,19,2023,1,2023_01_post.xlsx,2023-01-01,
Ho Chi Minh City,F1,622,2023,1,2023_01_post.xlsx,2023-01-01,Vietnam
Ho Chi Minh City,J1,19,2023,1,2023_01_post.xlsx,2023-01-01,Vietnam
Ho Chi Minh City,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Vietnam
Hong Kong,F1,118,2023,1,2023_01_post.xlsx,2023-01-01,Hong Kong
Hong Kong,J1,43,2023,1,2023_01_post.xlsx,2023-01-01,Hong Kong
Hong Kong,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Hong Kong
Hyderabad,F1,208,2023,1,2023_01_post.xlsx,2023-01-01,India
Hyderabad,J1,109,2023,1,2023_01_post.xlsx,2023-01-01,India
Islamabad,F1,75,2023,1,2023_01_post.xlsx,2023-01-01,Pakistan
Islamabad,J1,111,2023,1,2023_01_post.xlsx,2023-01-01,Pakistan
Istanbul,F1,120,2023,1,2023_01_post.xlsx,2023-01-01,Turkey
Istanbul,J1,80,2023,1,2023_01_post.xlsx,2023-01-01,Turkey
Istanbul,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Turkey
Jakarta,F1,76,2023,1,2023_01_post.xlsx,2023-01-01,Indonesia
Jakarta,J1,78,2023,1,2023_01_post.xlsx,2023-01-01,Indonesia
Jakarta,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Indonesia
Jeddah,F1,142,2023,1,2023_01_post.xlsx,2023-01-01,Saudi Arabia
Jeddah,J1,10,2023,1,2023_01_post.xlsx,2023-01-01,Saudi Arabia
Jeddah,M1,13,2023,1,2023_01_post.xlsx,2023-01-01,Saudi Arabia
Jerusalem,F1,15,2023,1,2023_01_post.xlsx,2023-01-01,
Jerusalem,J1,16,2023,1,2023_01_post.xlsx,2023-01-01,
Johannesburg,F1,55,2023,1,2023_01_post.xlsx,2023-01-01,South Africa
Johannesburg,J1,138,2023,1,2023_01_post.xlsx,2023-01-01,South Africa
Johannesburg,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,South Africa
Juba,J1,3,2023,1,2023_01_post.xlsx,2023-01-01,
Kampala,F1,84,2023,1,2023_01_post.xlsx,2023-01-01,
Kampala,J1,17,2023,1,2023_01_post.xlsx,2023-01-01,
Karachi,F1,49,2023,1,2023_01_post.xlsx,2023-01-01,Pakistan
Karachi,J1,28,2023,1,2023_01_post.xlsx,2023-01-01,Pakistan
Kathmandu,F1,82,2023,1,2023_01_post.xlsx,2023-01-01,Nepal
Kathmandu,J1,23,2023,1,2023_01_post.xlsx,2023-01-01,Nepal
Kathmandu,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Nepal
Khartoum,F1,15,2023,1,2023_01_post.xlsx,2023-01-01,
Khartoum,J1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Kigali,F1,26,2023,1,2023_01_post.xlsx,2023-01-01,
Kigali,J1,11,2023,1,2023_01_post.xlsx,2023-01-01,
Kingston,F1,72,2023,1,2023_01_post.xlsx,2023-01-01,Jamaica
Kingston,J1,50,2023,1,2023_01_post.xlsx,2023-01-01,Jamaica
Kingston,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Jamaica
Kinshasa,F1,59,2023,1,2023_01_post.xlsx,2023-01-01,
Kinshasa,J1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Kinshasa,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Kolkata,F1,88,2023,1,2023_01_post.xlsx,2023-01-01,India
Kolkata,J1,11,2023,1,2023_01_post.xlsx,2023-01-01,India
Kolkata,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,India
Krakow,F1,10,2023,1,2023_01_post.xlsx,2023-01-01,Poland
Krakow,J1,17,2023,1,2023_01_post.xlsx,2023-01-01,Poland
Kuala Lumpur,F1,108,2023,1,2023_01_post.xlsx,2023-01-01,Malaysia
Kuala Lumpur,J1,69,2023,1,2023_01_post.xlsx,2023-01-01,Malaysia
Kuwait City,F1,88,2023,1,2023_01_post.xlsx,2023-01-01,
Kuwait City,J1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Kuwait City,M1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Kyiv,F1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Kyiv,J1,24,2023,1,2023_01_post.xlsx,2023-01-01,
La Paz,F1,24,2023,1,2023_01_post.xlsx,2023-01-01,
La Paz,J1,20,2023,1,2023_01_post.xlsx,2023-01-01,
La Paz,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Lagos,F1,129,2023,1,2023_01_post.xlsx,2023-01-01,Nigeria
Lagos,J1,21,2023,1,2023_01_post.xlsx,2023-01-01,Nigeria
Libreville,F1,17,2023,1,2023_01_post.xlsx,2023-01-01,
Lilongwe,F1,19,2023,1,2023_01_post.xlsx,2023-01-01,
Lilongwe,J1,7,2023,1,2023_01_post.xlsx,2023-01-01,
Lima,F1,132,2023,1,2023_01_post.xlsx,2023-01-01,Peru
Lima,J1,68,2023,1,2023_01_post.xlsx,2023-01-01,Peru
Lima,M1,7,2023,1,2023_01_post.xlsx,2023-01-01,Peru
Lisbon,F1,46,2023,1,2023_01_post.xlsx,2023-01-01,
Lisbon,J1,40,2023,1,2023_01_post.xlsx,2023-01-01,
Ljubljana,F1,6,2023,1,2023_01_post.xlsx,2023-01-01,
Ljubljana,J1,8,2023,1,2023_01_post.xlsx,2023-01-01,
Lome,F1,21,2023,1,2023_01_post.xlsx,2023-01-01,
Lome,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
London,F1,204,2023,1,2023_01_post.xlsx,2023-01-01,United Kingdom
London,J1,515,2023,1,2023_01_post.xlsx,2023-01-01,United Kingdom
London,M1,26,2023,1,2023_01_post.xlsx,2023-01-01,United Kingdom
Luanda,F1,23,2023,1,2023_01_post.xlsx,2023-01-01,
Luanda,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Luanda,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Lusaka,F1,38,2023,1,2023_01_post.xlsx,2023-01-01,
Lusaka,J1,7,2023,1,2023_01_post.xlsx,2023-01-01,
Luxembourg,F1,3,2023,1,2023_01_post.xlsx,2023-01-01,
Luxembourg,J1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Madrid,F1,142,2023,1,2023_01_post.xlsx,2023-01-01,Spain
Madrid,J1,298,2023,1,2023_01_post.xlsx,2023-01-01,Spain
Madrid,M1,5,2023,1,2023_01_post.xlsx,2023-01-01,Spain
Malabo,F1,35,2023,1,2023_01_post.xlsx,2023-01-01,
Managua,F1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Managua,J1,6,2023,1,2023_01_post.xlsx,2023-01-01,
Manama,F1,9,2023,1,2023_01_post.xlsx,2023-01-01,
Manama,J1,3,2023,1,2023_01_post.xlsx,2023-01-01,
Manila,F1,42,2023,1,2023_01_post.xlsx,2023-01-01,Philippines
Manila,J1,167,2023,1,2023_01_post.xlsx,2023-01-01,Philippines
Manila,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Philippines
Maputo,F1,12,2023,1,2023_01_post.xlsx,2023-01-01,
Maputo,J1,9,2023,1,2023_01_post.xlsx,2023-01-01,
Maseru,J1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Matamoros,F1,9,2023,1,2023_01_post.xlsx,2023-01-01,
Matamoros,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Mbabane,F1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Mbabane,J1,8,2023,1,2023_01_post.xlsx,2023-01-01,
Melbourne,F1,35,2023,1,2023_01_post.xlsx,2023-01-01,Australia
Melbourne,J1,127,2023,1,2023_01_post.xlsx,2023-01-01,Australia
Melbourne,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Australia
Merida,F1,21,2023,1,2023_01_post.xlsx,2023-01-01,
Merida,J1,50,2023,1,2023_01_post.xlsx,2023-01-01,
Mexico City,F1,142,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Mexico City,J1,222,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Mexico City,M1,9,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Milan,F1,161,2023,1,2023_01_post.xlsx,2023-01-01,Italy
Milan,J1,214,2023,1,2023_01_post.xlsx,2023-01-01,Italy
Milan,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,Italy
Monrovia,F1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Monrovia,J1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Monterrey,F1,58,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Monterrey,J1,72,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Monterrey,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,Mexico
Montevideo,F1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Montevideo,J1,9,2023,1,2023_01_post.xlsx,2023-01-01,
Montevideo,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Moscow,J1,27,2023,1,2023_01_post.xlsx,2023-01-01,
Mumbai,F1,825,2023,1,2023_01_post.xlsx,2023-01-01,India
Mumbai,J1,199,2023,1,2023_01_post.xlsx,2023-01-01,India
Mumbai,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,India
Munich,F1,32,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Munich,J1,129,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Munich,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Germany
Muscat,F1,40,2023,1,2023_01_post.xlsx,2023-01-01,
Muscat,J1,3,2023,1,2023_01_post.xlsx,2023-01-01,
N`Djamena,F1,17,2023,1,2023_01_post.xlsx,2023-01-01,
N`Djamena,J1,6,2023,1,2023_01_post.xlsx,2023-01-01,
Naha,F1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Naha,J1,3,2023,1,2023_01_post.xlsx,2023-01-01,
Nairobi,F1,55,2023,1,2023_01_post.xlsx,2023-01-01,Kenya
Nairobi,J1,25,2023,1,2023_01_post.xlsx,2023-01-01,Kenya
Nairobi,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,Kenya
Naples,F1,35,2023,1,2023_01_post.xlsx,2023-01-01,
Naples,J1,35,2023,1,2023_01_post.xlsx,2023-01-01,
Nassau,F1,75,2023,1,2023_01_post.xlsx,2023-01-01,
Nassau,J1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Nassau,M1,3,2023,1,2023_01_post.xlsx,2023-01-01,
New Delhi,F1,471,2023,1,2023_01_post.xlsx,2023-01-01,India
New Delhi,J1,239,2023,1,2023_01_post.xlsx,2023-01-01,India
New Delhi,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,India
Niamey,F1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Niamey,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Nicosia,F1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Nicosia,J1,4,2023,1,2023_01_post.xlsx,2023-01-01,
Nicosia,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Nogales,F1,3,2023,1,2023_01_post.xlsx,2023-01-01,
Nogales,J1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Nouakchott,F1,4,2023,1,2023_01_post.xlsx,2023-01-01,
Nouakchott,J1,4,2023,1,2023_01_post.xlsx,2023-01-01,
Nuevo Laredo,F1,14,2023,1,2023_01_post.xlsx,2023-01-01,
Osaka/Kobe,F1,268,2023,1,2023_01_post.xlsx,2023-01-01,Japan
Osaka/Kobe,J1,117,2023,1,2023_01_post.xlsx,2023-01-01,Japan
Osaka/Kobe,M1,6,2023,1,2023_01_post.xlsx,2023-01-01,Japan
Oslo,F1,74,2023,1,2023_01_post.xlsx,2023-01-01,Norway
Oslo,J1,59,2023,1,2023_01_post.xlsx,2023-01-01,Norway
Oslo,M1,5,2023,1,2023_01_post.xlsx,2023-01-01,Norway
Ottawa,F1,64,2023,1,2023_01_post.xlsx,2023-01-01,
Ottawa,J1,17,2023,1,2023_01_post.xlsx,2023-01-01,
Ouagadougou,F1,30,2023,1,2023_01_post.xlsx,2023-01-01,
Ouagadougou,J1,12,2023,1,2023_01_post.xlsx,2023-01-01,
Ouagadougou,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Panama City,F1,52,2023,1,2023_01_post.xlsx,2023-01-01,
Panama City,J1,17,2023,1,2023_01_post.xlsx,2023-01-01,
Panama City,M1,2,2023,1,2023_01_post.xlsx,2023-01-01,
Paramaribo,F1,3,2023,1,2023_01_post.xlsx,2023-01-01,
Paramaribo,J1,5,2023,1,2023_01_post.xlsx,2023-01-01,
Paris,F1,225,2023,1,2023_01_post.xlsx,2023-01-01,France
Paris,J1,624,2023,1,2023_01_post.xlsx,2023-01-01,France
Paris,M1,11,2023,1,2023_01_post.xlsx,2023-01-01,France
Perth,F1,4,2023,1,2023_01_post.xlsx,2023-01-01,
Perth,J1,6,2023,1,2023_01_post.xlsx,2023-01-01,
Perth,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Phnom Penh,F1,62,2023,1,2023_01_post.xlsx,2023-01-01,
Phnom Penh,J1,10,2023,1,2023_01_post.xlsx,2023-01-01,
Phnom Penh,M1,1,2023,1,2023_01_post.xlsx,2023-01-01,
Podgorica,F1,3,2023,1,2023_01_post.xlsx,2023-01-01,
